week_end,pathogen_target,median_wval
2022-01-01,Influenza A virus,1.1349999999999998
2022-01-01,SARS-CoV-2,16.59
2022-01-08,Influenza A virus,1.125
2022-01-08,SARS-CoV-2,21.845
2022-01-15,Influenza A virus,1.08
2022-01-15,SARS-CoV-2,21.6
2022-01-22,Influenza A virus,1.17
2022-01-22,SARS-CoV-2,19.41
2022-01-29,Influenza A virus,1.54
2022-01-29,SARS-CoV-2,14.66
2022-02-05,Influenza A virus,1.5
2022-02-05,SARS-CoV-2,9.91
2022-02-12,Influenza A virus,1.745
2022-02-12,SARS-CoV-2,6.1
2022-02-19,Influenza A virus,1.5750000000000002
2022-02-19,SARS-CoV-2,4.295
2022-02-26,Influenza A virus,1.77
2022-02-26,SARS-CoV-2,2.53
2022-03-05,Influenza A virus,2.1849999999999996
2022-03-05,RSV,1.0
2022-03-05,SARS-CoV-2,1.93
2022-03-12,Influenza A virus,1.87
2022-03-12,RSV,1.47
2022-03-12,SARS-CoV-2,1.4
2022-03-19,Influenza A virus,3.15
2022-03-19,RSV,1.0
2022-03-19,SARS-CoV-2,1.29
2022-03-26,Influenza A virus,2.92
2022-03-26,RSV,1.2349999999999999
2022-03-26,SARS-CoV-2,1.255
2022-04-02,Influenza A virus,2.42
2022-04-02,RSV,1.365
2022-04-02,SARS-CoV-2,1.34
2022-04-09,Influenza A virus,2.09
2022-04-09,RSV,1.5
2022-04-09,SARS-CoV-2,1.69
2022-04-16,Influenza A virus,1.71
2022-04-16,RSV,1.68
2022-04-16,SARS-CoV-2,2.25
2022-04-23,Influenza A virus,1.7650000000000001
2022-04-23,RSV,1.0
2022-04-23,SARS-CoV-2,3.3
2022-04-30,Influenza A virus,3.4299999999999997
2022-04-30,RSV,1.0
2022-04-30,SARS-CoV-2,4.005
2022-05-07,Influenza A virus,2.76
2022-05-07,RSV,1.0
2022-05-07,SARS-CoV-2,5.01
2022-05-14,Influenza A virus,2.035
2022-05-14,RSV,1.34
2022-05-14,SARS-CoV-2,5.949999999999999
2022-05-21,Influenza A virus,3.5549999999999997
2022-05-21,RSV,1.0
2022-05-21,SARS-CoV-2,7.295
2022-05-28,Influenza A virus,3.9899999999999998
2022-05-28,RSV,1.0
2022-05-28,SARS-CoV-2,7.72
2022-06-04,Influenza A virus,3.5300000000000002
2022-06-04,RSV,1.0
2022-06-04,SARS-CoV-2,7.895
2022-06-11,Influenza A virus,2.59
2022-06-11,RSV,1.0
2022-06-11,SARS-CoV-2,7.42
2022-06-18,Influenza A virus,2.4
2022-06-18,RSV,1.0
2022-06-18,SARS-CoV-2,7.51
2022-06-25,Influenza A virus,2.17
2022-06-25,RSV,1.0
2022-06-25,SARS-CoV-2,8.5
2022-07-02,Influenza A virus,1.45
2022-07-02,RSV,1.0
2022-07-02,SARS-CoV-2,9.25
2022-07-09,Influenza A virus,1.0
2022-07-09,RSV,1.6
2022-07-09,SARS-CoV-2,11.0
2022-07-16,Influenza A virus,1.0
2022-07-16,RSV,1.7
2022-07-16,SARS-CoV-2,10.69
2022-07-23,Influenza A virus,1.0
2022-07-23,RSV,2.06
2022-07-23,SARS-CoV-2,10.675
2022-07-30,Influenza A virus,1.0
2022-07-30,RSV,1.71
2022-07-30,SARS-CoV-2,10.18
2022-08-06,Influenza A virus,1.0
2022-08-06,RSV,1.53
2022-08-06,SARS-CoV-2,9.73
2022-08-13,Influenza A virus,1.0
2022-08-13,RSV,1.42
2022-08-13,SARS-CoV-2,8.16
2022-08-20,Influenza A virus,1.0
2022-08-20,RSV,1.82
2022-08-20,SARS-CoV-2,8.11
2022-08-27,Influenza A virus,1.0
