"burden","season","date","low","high"
"Hospitalizations","2024-2025","2024-10-05T00:00:00.000","570","1200"
"Hospitalizations","2024-2025","2024-10-12T00:00:00.000","1300","2600"
"Hospitalizations","2024-2025","2024-10-19T00:00:00.000","2300","4400"
"Hospitalizations","2024-2025","2024-10-26T00:00:00.000","3500","6700"
"Hospitalizations","2024-2025","2024-11-02T00:00:00.000","5100","9600"
"Hospitalizations","2024-2025","2024-11-09T00:00:00.000","7400","14000"
"Hospitalizations","2024-2025","2024-11-16T00:00:00.000","10000","19000"
"Hospitalizations","2024-2025","2024-11-23T00:00:00.000","14000","26000"
"Hospitalizations","2024-2025","2024-11-30T00:00:00.000","19000","34000"
"Hospitalizations","2024-2025","2024-12-07T00:00:00.000","25000","45000"
"Hospitalizations","2024-2025","2024-12-14T00:00:00.000","33000","60000"
"Hospitalizations","2024-2025","2024-12-21T00:00:00.000","44000","80000"
"Hospitalizations","2024-2025","2024-12-28T00:00:00.000","56000","100000"
"Hospitalizations","2024-2025","2025-01-04T00:00:00.000","71000","130000"
"Hospitalizations","2024-2025","2025-01-11T00:00:00.000","86000","160000"
"Hospitalizations","2024-2025","2025-01-18T00:00:00.000","96000","180000"
"Hospitalizations","2024-2025","2025-01-25T00:00:00.000","110000","200000"
"Hospitalizations","2024-2025","2025-02-01T00:00:00.000","120000","220000"
"Hospitalizations","2024-2025","2025-02-08T00:00:00.000","130000","240000"
"Hospitalizations","2024-2025","2025-02-15T00:00:00.000","140000","260000"
"Hospitalizations","2024-2025","2025-02-22T00:00:00.000","150000","280000"
"Hospitalizations","2024-2025","2025-03-01T00:00:00.000","160000","300000"
"Hospitalizations","2024-2025","2025-03-08T00:00:00.000","160000","310000"
"Hospitalizations","2024-2025","2025-03-15T00:00:00.000","170000","320000"
"Hospitalizations","2024-2025","2025-03-22T00:00:00.000","180000","330000"
"Hospitalizations","2024-2025","2025-03-29T00:00:00.000","180000","340000"
"Hospitalizations","2024-2025","2025-04-05T00:00:00.000","180000","340000"
"Hospitalizations","2024-2025","2025-04-12T00:00:00.000","180000","350000"
"Hospitalizations","2024-2025","2025-04-19T00:00:00.000","190000","350000"
"Hospitalizations","2024-2025","2025-04-26T00:00:00.000","190000","350000"
"Hospitalizations","2024-2025","2025-05-03T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-05-10T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-05-17T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-05-24T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-05-31T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-06-07T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-06-14T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-06-21T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-06-28T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-07-05T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-07-12T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-07-19T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-07-26T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-08-02T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-08-09T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-08-16T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-08-23T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-08-30T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-09-06T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-09-13T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-09-20T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-09-27T00:00:00.000","190000","370000"
"Hospitalizations","2025-2026","2025-10-04T00:00:00.000","294","668"
"Hospitalizations","2025-2026","2025-10-11T00:00:00.000","688","1445"
"Hospitalizations","2025-2026","2025-10-18T00:00:00.000","1179","2363"
"Hospitalizations","2025-2026","2025-10-25T00:00:00.000","1741","3428"
"Hospitalizations","2025-2026","2025-11-01T00:00:00.000","2485","4851"
"Hospitalizations","2025-2026","2025-11-08T00:00:00.000","3533","6910"
"Hospitalizations","2025-2026","2025-11-15T00:00:00.000","4911","9451"
"Hospitalizations","2025-2026","2025-11-22T00:00:00.000","6446","12360"
"Hospitalizations","2025-2026","2025-11-29T00:00:00.000","8374","16010"
"Hospitalizations","2025-2026","2025-12-06T00:00:00.000","11063","21317"
"Hospitalizations","2025-2026","2025-12-13T00:00:00.000","14859","28624"
"Hospitalizations","2025-2026","2025-12-20T00:00:00.000","19850","38006"
"Hospitalizations","2025-2026","2025-12-27T00:00:00.000","25674","49247"
"Hospitalizations","2025-2026","2026-01-03T00:00:00.000","32728","63836"
"Hospitalizations","2025-2026","2026-01-10T00:00:00.000","40317","79365"
"Hospitalizations","2025-2026","2026-01-17T00:00:00.000","48138","94958"
"Hospitalizations","2025-2026","2026-01-24T00:00:00.000","55946","110335"
"Hospitalizations","2025-2026","2026-01-31T00:00:00.000","64291","126964"
"Hospitalizations","2025-2026","2026-02-07T00:00:00.000","74087","145516"
"Hospitalizations","2025-2026","2026-02-14T00:00:00.000","83471","165041"
"Hospitalizations","2025-2026","2026-02-21T00:00:00.000","96663","189766"
"Hospitalizations","2025-2026","2026-02-28T00:00:00.000","106693","210339"
"Hospitalizations","2025-2026","2026-03-07T00:00:00.000","116568","230268"
"Hospitalizations","2025-2026","2026-03-14T00:00:00.000","124261","247007"
"Hospitalizations","2025-2026","2026-03-21T00:00:00.000","131667","263035"
"Hospitalizations","2025-2026","2026-03-28T00:00:00.000","138344","277101"
"Hospitalizations","2025-2026","2026-04-04T00:00:00.000","144795","289595"
"Hospitalizations","2025-2026","2026-04-11T00:00:00.000","153251","303678"
"Hospitalizations","2025-2026","2026-04-18T00:00:00.000","157399","312372"
"Hospitalizations","2025-2026","2026-04-25T00:00:00.000","160757","318723"
"Hospitalizations","2025-2026","2026-05-02T00:00:00.000","163028","323642"
"Hospitalizations","2025-2026","2026-05-09T00:00:00.000","164834","327490"
"Hospitalizations","2025-2026","2026-05-16T00:00:00.000","165508","329529"
"Hospitalizations","2025-2026","2026-05-23T00:00:00.000","167744","332993"
"Hospitalizations","2025-2026","2026-05-30T00:00:00.000","168242","334453"
"Hospitalizations","2025-2026","2026-06-06T00:00:00.000","169560","336711"
