"burden","season","date","low","high"
"Hospitalizations","2024-2025","2024-10-05T00:00:00.000","570","1200"
"Hospitalizations","2024-2025","2024-10-12T00:00:00.000","1300","2600"
"Hospitalizations","2024-2025","2024-10-19T00:00:00.000","2300","4400"
"Hospitalizations","2024-2025","2024-10-26T00:00:00.000","3500","6700"
"Hospitalizations","2024-2025","2024-11-02T00:00:00.000","5100","9600"
"Hospitalizations","2024-2025","2024-11-09T00:00:00.000","7400","14000"
"Hospitalizations","2024-2025","2024-11-16T00:00:00.000","10000","19000"
"Hospitalizations","2024-2025","2024-11-23T00:00:00.000","14000","26000"
"Hospitalizations","2024-2025","2024-11-30T00:00:00.000","19000","34000"
"Hospitalizations","2024-2025","2024-12-07T00:00:00.000","25000","45000"
"Hospitalizations","2024-2025","2024-12-14T00:00:00.000","33000","60000"
"Hospitalizations","2024-2025","2024-12-21T00:00:00.000","44000","80000"
"Hospitalizations","2024-2025","2024-12-28T00:00:00.000","56000","100000"
"Hospitalizations","2024-2025","2025-01-04T00:00:00.000","71000","130000"
"Hospitalizations","2024-2025","2025-01-11T00:00:00.000","86000","160000"
"Hospitalizations","2024-2025","2025-01-18T00:00:00.000","96000","180000"
"Hospitalizations","2024-2025","2025-01-25T00:00:00.000","110000","200000"
"Hospitalizations","2024-2025","2025-02-01T00:00:00.000","120000","220000"
"Hospitalizations","2024-2025","2025-02-08T00:00:00.000","130000","240000"
"Hospitalizations","2024-2025","2025-02-15T00:00:00.000","140000","260000"
"Hospitalizations","2024-2025","2025-02-22T00:00:00.000","150000","280000"
"Hospitalizations","2024-2025","2025-03-01T00:00:00.000","160000","300000"
"Hospitalizations","2024-2025","2025-03-08T00:00:00.000","160000","310000"
"Hospitalizations","2024-2025","2025-03-15T00:00:00.000","170000","320000"
"Hospitalizations","2024-2025","2025-03-22T00:00:00.000","180000","330000"
"Hospitalizations","2024-2025","2025-03-29T00:00:00.000","180000","340000"
"Hospitalizations","2024-2025","2025-04-05T00:00:00.000","180000","340000"
"Hospitalizations","2024-2025","2025-04-12T00:00:00.000","180000","350000"
"Hospitalizations","2024-2025","2025-04-19T00:00:00.000","190000","350000"
"Hospitalizations","2024-2025","2025-04-26T00:00:00.000","190000","350000"
"Hospitalizations","2024-2025","2025-05-03T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-05-10T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-05-17T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-05-24T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-05-31T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-06-07T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-06-14T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-06-21T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-06-28T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-07-05T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-07-12T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-07-19T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-07-26T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-08-02T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-08-09T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-08-16T00:00:00.000","190000","360000"
"Hospitalizations","2024-2025","2025-08-23T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-08-30T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-09-06T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-09-13T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-09-20T00:00:00.000","190000","370000"
"Hospitalizations","2024-2025","2025-09-27T00:00:00.000","190000","370000"
"Hospitalizations","2025-2026","2025-10-04T00:00:00.000","314","690"
"Hospitalizations","2025-2026","2025-10-11T00:00:00.000","725","1479"
"Hospitalizations","2025-2026","2025-10-18T00:00:00.000","1225","2395"
"Hospitalizations","2025-2026","2025-10-25T00:00:00.000","1822","3495"
"Hospitalizations","2025-2026","2025-11-01T00:00:00.000","2573","4891"
"Hospitalizations","2025-2026","2025-11-08T00:00:00.000","3619","6939"
"Hospitalizations","2025-2026","2025-11-15T00:00:00.000","4983","9452"
"Hospitalizations","2025-2026","2025-11-22T00:00:00.000","6532","12308"
"Hospitalizations","2025-2026","2025-11-29T00:00:00.000","8527","15969"
"Hospitalizations","2025-2026","2025-12-06T00:00:00.000","11250","21200"
"Hospitalizations","2025-2026","2025-12-13T00:00:00.000","14825","28252"
"Hospitalizations","2025-2026","2025-12-20T00:00:00.000","20150","37888"
"Hospitalizations","2025-2026","2025-12-27T00:00:00.000","25792","48835"
"Hospitalizations","2025-2026","2026-01-03T00:00:00.000","32292","62572"
"Hospitalizations","2025-2026","2026-01-10T00:00:00.000","40559","78497"
"Hospitalizations","2025-2026","2026-01-17T00:00:00.000","48454","93915"
"Hospitalizations","2025-2026","2026-01-24T00:00:00.000","56432","109352"
"Hospitalizations","2025-2026","2026-01-31T00:00:00.000","65100","126209"
"Hospitalizations","2025-2026","2026-02-07T00:00:00.000","74620","144400"
"Hospitalizations","2025-2026","2026-02-14T00:00:00.000","84795","164262"
"Hospitalizations","2025-2026","2026-02-21T00:00:00.000","95946","186459"
"Hospitalizations","2025-2026","2026-02-28T00:00:00.000","106656","207651"
"Hospitalizations","2025-2026","2026-03-07T00:00:00.000","115923","226324"
"Hospitalizations","2025-2026","2026-03-14T00:00:00.000","125020","244426"
"Hospitalizations","2025-2026","2026-03-21T00:00:00.000","134822","262497"
"Hospitalizations","2025-2026","2026-03-28T00:00:00.000","140995","275929"
"Hospitalizations","2025-2026","2026-04-04T00:00:00.000","147863","288567"
"Hospitalizations","2025-2026","2026-04-11T00:00:00.000","152764","298938"
"Hospitalizations","2025-2026","2026-04-18T00:00:00.000","155624","306119"
"Hospitalizations","2025-2026","2026-04-25T00:00:00.000","160196","313825"
"Hospitalizations","2025-2026","2026-05-02T00:00:00.000","160495","316519"
"Hospitalizations","2025-2026","2026-05-09T00:00:00.000","162197","320127"
"Hospitalizations","2025-2026","2026-05-16T00:00:00.000","163493","322669"
"Hospitalizations","2025-2026","2026-05-23T00:00:00.000","164739","325025"
"Hospitalizations","2025-2026","2026-05-30T00:00:00.000","166225","327466"
"Hospitalizations","2025-2026","2026-06-06T00:00:00.000","167037","329058"
