"week_end","pathogen","percent_deaths"
"2025-10-04T00:00:00.000","Influenza","0.03"
"2025-10-04T00:00:00.000","COVID-19","0.76"
"2025-10-11T00:00:00.000","Influenza","0.04"
"2025-10-11T00:00:00.000","COVID-19","0.61"
"2025-10-18T00:00:00.000","Influenza","0.04"
"2025-10-18T00:00:00.000","COVID-19","0.5"
"2025-10-25T00:00:00.000","Influenza","0.05"
"2025-10-25T00:00:00.000","COVID-19","0.46"
"2025-11-01T00:00:00.000","Influenza","0.06"
"2025-11-01T00:00:00.000","COVID-19","0.4"
"2025-11-08T00:00:00.000","Influenza","0.06"
"2025-11-08T00:00:00.000","RSV","0.0"
"2025-11-08T00:00:00.000","COVID-19","0.32"
"2025-11-15T00:00:00.000","Influenza","0.09"
"2025-11-15T00:00:00.000","COVID-19","0.36"
"2025-11-22T00:00:00.000","Influenza","0.11"
"2025-11-22T00:00:00.000","COVID-19","0.39"
"2025-11-29T00:00:00.000","Influenza","0.13"
"2025-11-29T00:00:00.000","COVID-19","0.35"
"2025-12-06T00:00:00.000","Influenza","0.23"
"2025-12-06T00:00:00.000","RSV","0.02"
"2025-12-06T00:00:00.000","COVID-19","0.35"
"2025-12-13T00:00:00.000","Influenza","0.32"
"2025-12-13T00:00:00.000","RSV","0.02"
"2025-12-13T00:00:00.000","COVID-19","0.4"
"2025-12-20T00:00:00.000","Influenza","0.51"
"2025-12-20T00:00:00.000","RSV","0.02"
"2025-12-20T00:00:00.000","COVID-19","0.48"
"2025-12-27T00:00:00.000","Influenza","1.03"
"2025-12-27T00:00:00.000","RSV","0.04"
"2025-12-27T00:00:00.000","COVID-19","0.54"
"2026-01-03T00:00:00.000","Influenza","1.82"
"2026-01-03T00:00:00.000","RSV","0.02"
"2026-01-03T00:00:00.000","COVID-19","0.67"
"2026-01-10T00:00:00.000","Influenza","1.93"
"2026-01-10T00:00:00.000","RSV","0.06"
"2026-01-10T00:00:00.000","COVID-19","0.78"
"2026-01-17T00:00:00.000","Influenza","1.67"
"2026-01-17T00:00:00.000","RSV","0.03"
"2026-01-17T00:00:00.000","COVID-19","0.74"
"2026-01-24T00:00:00.000","Influenza","1.26"
"2026-01-24T00:00:00.000","RSV","0.05"
"2026-01-24T00:00:00.000","COVID-19","0.67"
"2026-01-31T00:00:00.000","Influenza","1.1"
"2026-01-31T00:00:00.000","RSV","0.03"
"2026-01-31T00:00:00.000","COVID-19","0.65"
"2026-02-07T00:00:00.000","Influenza","0.99"
"2026-02-07T00:00:00.000","RSV","0.06"
"2026-02-07T00:00:00.000","COVID-19","0.63"
"2026-02-14T00:00:00.000","Influenza","0.85"
"2026-02-14T00:00:00.000","RSV","0.05"
"2026-02-14T00:00:00.000","COVID-19","0.54"
"2026-02-21T00:00:00.000","Influenza","0.84"
"2026-02-21T00:00:00.000","RSV","0.05"
"2026-02-21T00:00:00.000","COVID-19","0.56"
"2026-02-28T00:00:00.000","Influenza","0.7"
"2026-02-28T00:00:00.000","RSV","0.06"
"2026-02-28T00:00:00.000","COVID-19","0.5"
"2026-03-07T00:00:00.000","Influenza","0.59"
"2026-03-07T00:00:00.000","RSV","0.06"
"2026-03-07T00:00:00.000","COVID-19","0.49"
"2026-03-14T00:00:00.000","Influenza","0.46"
"2026-03-14T00:00:00.000","RSV","0.06"
"2026-03-14T00:00:00.000","COVID-19","0.4"
"2026-03-21T00:00:00.000","Influenza","0.33"
"2026-03-21T00:00:00.000","RSV","0.05"
